entry_date,exit_date,direction,entry_price,exit_price,qty,pnl,r_multiple,layer,exit_reason
2016-03-30,2016-04-07,long,117.88,115.30721042324232,388.0,-998.2423557819764,-1.0,1,stop_hit
2016-04-08,2016-05-19,long,118.07,119.0,289.0,268.77000000000197,0.27188038591465424,1,stop_hit
2016-04-20,2016-05-19,long,119.67,119.0,280.0,-187.60000000000048,-0.1895600898237042,2,stop_hit
2016-04-27,2016-05-19,long,118.97,119.0,404.0,12.12000000000046,0.012243422332964004,3,stop_hit
2016-06-06,2016-06-23,long,118.89,120.34223866976369,224.0,325.301462027066,0.32911256946788625,1,stop_hit
2016-06-27,2016-07-14,long,126.44,126.26303895810113,136.0,-24.066701698245424,-0.024275637941421208,1,stop_hit
2016-07-22,2016-08-24,long,126.43,126.92,520.0,254.79999999999734,0.25683183816916255,1,stop_hit
2016-07-28,2016-08-24,long,128.09,126.92,258.0,-301.86000000000047,-0.3044739611213448,2,stop_hit
2016-08-10,2016-08-24,long,129.12,126.61473236404802,396.0,-992.0859838369844,-1.0,3,stop_hit
2016-09-07,2016-09-15,long,128.79,125.41022486512088,202.0,-682.7145772455804,-0.6948575648416088,1,stop_hit
2016-09-22,2016-10-03,long,127.57,125.1528605537208,283.0,-684.0504632970118,-0.7012027533109181,1,stop_hit
2016-11-01,2016-11-08,long,122.8,122.12,387.0,-263.1599999999971,-0.27177049612681387,1,regime_break
2017-04-27,2017-05-03,long,120.42,119.18,811.0,-1005.6399999999959,-1.0408932219988072,1,regime_break
2017-05-01,2017-05-03,long,120.21,119.18,972.0,-1001.1599999999873,-1.0353240655435254,2,regime_break
2017-06-14,2017-06-14,long,121.51,119.75773208050427,540.0,-946.2246765276975,-1.0,1,stop_hit
2017-09-26,2017-09-27,long,123.57,121.90539067034776,563.0,-937.1750525942092,-1.0,1,stop_hit
2017-10-12,2017-10-23,long,122.84,120.98,261.0,-485.45999999999987,-0.5229531594100402,1,stop_hit
2017-11-07,2017-12-05,long,121.15,120.44,638.0,-452.9800000000051,-0.4912575879043188,1,regime_break
2017-11-09,2017-12-05,long,121.85,120.44,662.0,-933.4199999999978,-1.0112827768390953,2,regime_break
2017-11-15,2017-12-05,long,122.13,120.44,555.0,-937.9499999999987,-1.01724558654679,3,regime_break
2018-02-14,2018-02-27,long,126.47,125.56321956690562,344.0,-311.93246898446773,-0.34654171008220547,1,stop_hit
2018-02-27,2018-02-27,long,126.06,124.90484729133351,779.0,-899.8639600511972,-1.0,2,stop_hit
2018-03-07,2018-03-29,long,126.22,125.42,276.0,-220.79999999999922,-0.24911761136208496,1,stop_hit
2018-03-22,2018-03-29,long,126.09,125.42,333.0,-223.11000000000058,-0.25164256832016163,2,stop_hit
2018-04-03,2018-04-23,long,126.54,125.38235972347857,485.0,-561.4555341128955,-0.6365984884339009,1,stop_hit
2018-04-09,2018-04-23,long,126.45,125.38235972347857,552.0,-589.3374326398297,-0.6678186138019249,2,stop_hit
2019-03-14,2019-03-28,long,122.33,122.28,497.0,-24.849999999998587,-0.028502985713142952,1,stop_hit
2019-03-20,2019-03-28,long,123.66,122.28,435.0,-600.299999999998,-0.6896370251166349,2,stop_hit
2019-04-10,2019-04-15,long,123.22,121.2,318.0,-642.3599999999988,-0.742238721774136,1,stop_hit
2019-05-08,2019-05-17,long,121.54,120.54049070388972,356.0,-355.8253094152632,-0.41464476342205103,1,stop_hit
2019-05-10,2019-05-17,long,121.41,120.54049070388972,821.0,-713.86713210654,-0.8307570285808895,2,stop_hit
2019-05-24,2019-07-01,long,121.13,130.75168990836832,497.0,4781.979884459057,5.637491702620168,1,stop_hit
2019-05-31,2019-07-01,long,122.55,130.75168990836832,342.0,2804.9779486619664,3.308288497835202,2,stop_hit
2019-08-02,2019-09-09,long,135.39,141.88354726352088,288.0,1870.1416118940178,2.026715025977627,1,stop_hit
2019-09-23,2019-09-30,long,143.22,139.77,219.0,-755.5499999999975,-0.8020643837101229,1,stop_hit
2019-10-09,2019-10-11,long,142.16,139.32183118790977,329.0,-933.757539177686,-1.0,2,stop_hit
2019-10-04,2019-11-07,long,141.48,138.90151573377497,201.0,-518.2753375112287,-0.5555110824584072,1,stop_hit
2019-10-25,2019-11-07,long,142.79,138.90151573377497,203.0,-789.3623060436792,-0.8551744452226014,2,stop_hit
2019-10-31,2019-11-07,long,141.98,139.11651747923008,323.0,-924.9048542086798,-1.0,3,stop_hit
2019-12-04,2020-02-04,long,139.16,146.1379015711038,255.0,1779.3649006314727,1.970033807779825,1,stop_hit
2019-12-12,2020-02-04,long,139.78,146.1379015711038,310.0,1970.9494870421809,2.1866447658158825,2,stop_hit
2019-12-16,2020-02-04,long,139.2,146.1379015711038,479.0,3323.254852558731,3.6821747806051586,3,stop_hit
2020-02-07,2020-02-28,long,147.83,150.9543809749451,369.0,1152.896579754741,1.184168940700363,1,stop_hit
2020-03-04,2020-03-12,long,154.4,150.39929283391353,115.0,-460.08132409994414,-0.46905566039211727,1,stop_hit
2020-03-25,2020-06-03,long,152.58,159.0851602648837,78.0,507.4025006609285,0.52120728635737,1,stop_hit
2020-04-02,2020-06-03,long,151.2,159.0851602648837,191.0,1506.065610592791,1.5416226678587124,2,stop_hit
2020-05-08,2020-06-03,long,161.08,159.0851602648837,225.0,-448.83894040116775,-0.458673148971353,3,stop_hit
2020-06-10,2020-08-11,long,162.1,183.57,160.0,3435.2,3.450199528556258,1,stop_hit
2020-08-14,2020-08-25,long,183.44,179.8567837446188,168.0,-601.9803309040396,-0.5858224342986937,1,stop_hit
2020-08-21,2020-08-25,long,182.14,179.90797720484608,462.0,-1031.1945313611063,-1.0,2,stop_hit
2020-08-27,2020-09-21,long,185.0,178.06454555257207,146.0,-1012.5763493244776,-1.0,1,stop_hit
2020-08-31,2020-09-21,long,184.79,177.8492705561112,141.0,-978.6428515883186,-0.9642834749943632,2,stop_hit
2020-09-10,2020-09-21,long,184.23,177.46681204150346,150.0,-1014.4781937744796,-1.0,3,stop_hit
2020-10-12,2020-10-28,long,180.57,175.46172174311616,123.0,-628.3182255967117,-0.6382087075795295,1,stop_hit
2020-10-21,2020-10-28,long,180.47,176.05091004582016,223.0,-985.457059782104,-1.0,2,stop_hit
2020-11-04,2020-11-09,long,178.93,176.42,191.0,-479.4100000000037,-0.49488284357297146,1,stop_hit
2020-12-08,2021-01-08,long,175.51,176.64833768327074,131.0,149.12223650846803,0.15532377982340542,1,stop_hit
2020-12-16,2021-01-08,long,174.13,176.64833768327074,223.0,561.5893033693759,0.5840695965857163,2,stop_hit
2022-01-05,2022-01-06,long,170.61,167.16,288.0,-993.6000000000049,-1.0245896158719785,1,regime_break
2022-01-12,2022-01-27,long,170.19,168.01,262.0,-571.1600000000018,-0.5954636816107398,1,regime_break
2022-02-08,2022-03-11,long,170.1,183.7399,335.0,4569.366500000004,4.784770903391713,1,stop_hit
2022-03-22,2022-03-29,long,179.6,177.02,512.0,-1320.9599999999919,-1.3196245517641985,2,stop_hit
2022-03-24,2022-03-29,long,182.35,176.9563040249576,185.0,-997.8337553828424,-1.0,3,stop_hit
2022-03-18,2022-04-25,long,179.93,177.17,221.0,-609.9600000000042,-0.6110415036024206,1,stop_hit
2022-03-31,2022-04-25,long,180.91,177.17,177.0,-661.9800000000016,-0.6774736123494809,2,stop_hit
2022-04-08,2022-04-25,long,180.52,177.17,332.0,-1112.2000000000075,-1.1372084564356804,3,stop_hit
2022-05-25,2022-05-31,long,172.79,172.71,325.0,-25.999999999994827,-0.02727039935655027,1,regime_break
2022-06-03,2022-06-06,long,173.5285,172.81,307.0,-220.57950000000181,-0.23124241664425174,1,regime_break
2022-06-13,2022-06-13,long,171.17,171.17,1716.0,0.0,0.0,1,regime_break
2023-03-06,2023-04-21,long,172.32,183.81932826178775,191.0,2196.3716980014606,2.3149169632067177,1,stop_hit
2023-03-13,2023-04-21,long,176.66,183.81932826178775,105.0,751.7294674877137,0.7896556082143988,2,stop_hit
2023-04-25,2023-05-16,long,184.84,185.03320750885052,354.0,68.3954581330841,0.06970642047020106,1,stop_hit
2023-05-03,2023-05-16,long,187.61,185.03320750885052,202.0,-520.512083212197,-0.53250365521783,2,stop_hit
2023-07-12,2023-08-02,long,181.18,179.7076379845751,158.0,-232.63319843713742,-0.23818048981687906,1,stop_hit
2023-07-31,2023-08-02,long,182.43,179.5285529021096,336.0,-974.8862248911782,-1.0,2,stop_hit
2023-08-29,2023-09-12,long,178.03,177.11,466.0,-428.7199999999942,-0.44469860117715393,1,regime_break
2023-11-15,2023-12-05,long,182.03,186.99949934354098,249.0,1237.4053365417026,1.2928962438979683,1,stop_hit
2023-12-14,2024-01-08,long,188.8649,187.21,143.0,-236.6506999999997,-0.24444911373214495,1,stop_hit
2024-01-16,2024-01-17,long,189.15,185.62358302962423,275.0,-969.7646668533388,-1.0,1,stop_hit
2024-01-30,2024-02-12,long,189.7,186.37894350905017,189.0,-627.6796767895149,-0.6560211879611809,1,stop_hit
2024-02-07,2024-02-13,long,188.45,185.35,362.0,-1122.199999999998,-1.1699654907997976,2,stop_hit
2024-02-21,2024-04-30,long,187.88,213.38,191.0,4870.5,5.1699703174880485,1,stop_hit
2024-05-07,2024-05-23,long,214.52,217.2626580378803,187.0,512.8770530836141,0.5190831857206551,1,stop_hit
2024-05-10,2024-05-23,long,219.22,217.2626580378803,139.0,-272.07053273463816,-0.2755263066275048,2,stop_hit
2024-05-29,2024-06-04,long,216.92,214.2568104167365,373.0,-993.3697145572811,-1.0,1,stop_hit
2024-06-06,2024-06-07,long,218.36,212.8408588287243,178.0,-982.4071284870781,-1.0,1,stop_hit
2024-06-21,2024-07-22,long,217.83,221.36118289248685,127.0,448.46022734582857,0.4603338835359016,1,stop_hit
