entry_date,exit_date,direction,entry_price,exit_price,qty,pnl,r_multiple,layer,exit_reason
2016-03-17,2016-03-23,long,121.22057999999998,116.32276521997525,309.0,-1586.8256607006144,-1.0120237593283323,1,stop_hit
2016-03-30,2016-04-07,long,117.93893999999999,115.24955681803071,560.0,-1636.640140120892,-1.0219071160353195,1,stop_hit
2016-04-08,2016-05-19,long,118.12903499999999,118.92834506071631,416.0,233.8971151527323,0.22970944710352764,1,stop_hit
2016-04-20,2016-05-19,long,119.729835,118.92834506071631,403.0,-419.17969209579326,-0.22298703404358852,2,stop_hit
2016-04-27,2016-05-19,long,119.029485,118.92834506071631,577.0,-195.65941291171873,-0.04029832409499049,3,stop_hit
2016-06-06,2016-07-20,long,118.949445,125.43725,322.0,2010.3806942100027,1.4507502108441401,1,stop_hit
2016-06-27,2016-07-20,long,126.50321999999998,125.43725,196.0,-258.31045211999583,-0.1449732114382279,2,stop_hit
2016-07-22,2016-08-24,long,126.493215,126.54370921736782,744.0,-150.6917738960687,0.025617562320823375,1,stop_hit
2016-07-28,2016-08-24,long,128.154045,126.54370921736782,375.0,-699.3875763185792,-0.4121944515448494,2,stop_hit
2016-08-11,2016-08-24,long,128.674305,126.55419273016129,712.0,-1691.2426265090392,-1.0307801645381287,3,stop_hit
2016-09-06,2016-09-15,long,127.4637,125.215630703226,408.0,-1020.3054400107104,-0.6443041731641552,1,stop_hit
2016-09-22,2016-10-04,long,127.63378499999999,123.09842,401.0,-1919.2249792049938,-1.291788773004418,1,stop_hit
2016-10-26,2016-11-10,long,121.430685,120.10292365900074,390.0,-612.0250303667216,-0.37562304280022446,1,stop_hit
2016-10-31,2016-11-10,long,121.570755,120.10292365900074,930.0,-1589.8396682821901,-0.9900093109442177,2,stop_hit
2017-10-11,2017-10-25,long,122.63128499999999,120.90987421998501,400.0,-785.980775693985,-0.5132665705766485,1,stop_hit
2017-11-09,2017-12-05,long,121.91092499999999,120.37978000000001,914.0,-1620.9202343699824,-1.0521932025025365,2,stop_hit
2017-11-15,2017-12-05,long,122.191065,120.37978000000001,771.0,-1583.5228564949875,-1.0515967333457734,3,stop_hit
2017-11-07,2017-12-07,long,121.210575,118.95049500000002,884.0,-2210.2131058799896,-1.5008713075792561,1,regime_break
2017-12-20,2018-02-06,long,120.03999,125.31335101437648,1383.0,6953.734612259785,5.85282753928955,1,stop_hit
