entry_date,exit_date,direction,entry_price,exit_price,qty,pnl,r_multiple,layer,exit_reason
2016-03-30,2016-04-07,long,117.93893999999999,115.24955681803071,379.0,-1107.6546662603894,-1.0219071160353195,1,stop_hit
2016-04-08,2016-05-19,long,118.12903499999999,118.9405,284.0,163.12831206000357,0.23320259015233538,1,stop_hit
2016-04-20,2016-05-19,long,119.729835,118.9405,274.0,-281.6734617899984,-0.2196053398675241,2,stop_hit
2016-04-27,2016-05-19,long,119.029485,118.9405,393.0,-128.4933091049976,-0.03545529486165101,3,stop_hit
2016-06-06,2016-06-23,long,118.949445,120.2820675504288,220.0,240.5460283332436,0.29799022103935735,1,stop_hit
2016-06-27,2016-07-14,long,126.50321999999998,126.19990743862209,134.0,-74.5061023014131,-0.04125087581499358,1,stop_hit
2016-07-22,2016-08-24,long,126.493215,126.85654000000001,500.0,54.987622500001606,0.1843280540901339,1,stop_hit
2016-07-28,2016-08-24,long,128.154045,126.85654000000001,252.0,-391.2339274199967,-0.33211977751465993,2,stop_hit
2016-08-10,2016-08-24,long,129.18456,126.55142499786601,383.0,-1106.4375880715036,-1.0246348686177795,3,stop_hit
2016-09-07,2016-09-15,long,128.85439499999998,125.34751975268833,196.0,-737.1711237646113,-0.7115678832276939,1,stop_hit
2016-09-22,2016-10-03,long,127.63378499999999,125.09028412344395,274.0,-766.1656351161781,-0.7244545646187236,1,stop_hit
2016-11-01,2016-11-08,long,122.86139999999999,122.05894,372.0,-389.62548647999336,-0.31303159608614534,1,regime_break
2017-04-27,2017-05-03,long,120.48021,119.12041,759.0,-1213.9450705799945,-1.0865408995683334,1,regime_break
2017-05-01,2017-05-03,long,120.27010499999999,119.12041,899.0,-1248.787877984982,-1.0897969424335179,2,regime_break
2017-06-14,2017-06-14,long,121.570755,119.69785321446402,509.0,-1076.1127304189797,-1.0330270871903289,1,stop_hit
2017-09-26,2017-09-27,long,123.63178499999998,121.8444379750126,528.0,-1073.3306749241451,-1.0353063574690027,1,stop_hit
2017-10-12,2017-10-23,long,122.90142,120.91951000000002,248.0,-551.9812706399963,-0.5477698111137125,1,stop_hit
2017-11-07,2017-12-05,long,121.210575,120.37978000000001,594.0,-636.9969008699969,-0.5517133809335542,1,regime_break
2017-11-09,2017-12-05,long,121.91092499999999,120.37978000000001,614.0,-1088.8895228699882,-1.0521932025025365,2,regime_break
2017-11-15,2017-12-05,long,122.191065,120.37978000000001,518.0,-1063.8973277099917,-1.0515967333457734,3,regime_break
2018-02-14,2018-02-27,long,126.53323499999999,125.50043795712217,322.0,-413.7154904988505,-0.38538771018963003,1,stop_hit
2018-02-27,2018-02-27,long,126.12303,124.84239486768784,709.0,-1085.9047950405093,-1.051266877457185,2,stop_hit
2018-03-07,2018-03-29,long,126.28311,125.35729,259.0,-304.9622435999968,-0.2827410808810695,1,stop_hit
2018-03-22,2018-03-29,long,126.15304499999999,125.35729,311.0,-325.69951918499555,-0.29196108370580337,2,stop_hit
2018-04-03,2018-04-23,long,126.60327,125.31966854361684,447.0,-686.3794045322659,-0.6821325336257714,1,stop_hit
2018-04-09,2018-04-23,long,126.51322499999999,125.31966854361684,506.0,-731.3670110629436,-0.7181779556221696,2,stop_hit
2019-03-14,2019-03-28,long,122.39116499999999,122.21886,455.0,-189.69633637499098,-0.09491468217250285,1,stop_hit
2019-03-20,2019-03-28,long,123.72182999999998,122.21886,400.0,-699.5642759999905,-0.7285775545489536,2,stop_hit
2019-04-10,2019-04-15,long,123.28160999999999,121.13940000000001,293.0,-699.2828859299933,-0.7697190483236039,1,stop_hit
2019-05-08,2019-05-17,long,121.60077,120.48022045853777,327.0,-445.5801839380894,-0.45342705999299954,1,stop_hit
2019-05-10,2019-05-17,long,121.470705,120.48022045853777,730.0,-899.6778908521554,-0.8944622859825285,2,stop_hit
2019-05-24,2019-07-01,long,121.19056499999999,130.68631406341413,449.0,4150.498610773475,5.373033936658615,1,stop_hit
2019-05-31,2019-07-01,long,122.61127499999999,130.68631406341413,312.0,2440.383339997426,3.178637624405301,2,stop_hit
2019-08-02,2019-09-09,long,135.45769499999997,141.81260548988914,262.0,1592.3417296226103,1.9424048348491425,1,stop_hit
2019-09-23,2019-09-30,long,143.29161,139.700115,200.0,-774.8973449999961,-0.8212866501246826,1,stop_hit
2019-10-09,2019-10-11,long,142.23108,139.25217027231582,297.0,-968.3367144530758,-1.0239446400405654,2,stop_hit
2019-10-04,2019-11-07,long,141.55074,138.83206497590808,183.0,-548.8275827194104,-0.5769214598704221,1,stop_hit
2019-10-25,2019-11-07,long,142.861395,138.83206497590808,185.0,-797.5393445525455,-0.8724511086189399,2,stop_hit
2019-10-31,2019-11-07,long,142.05098999999998,139.04695922049046,291.0,-955.9724600604331,-1.0237038371452765,3,stop_hit
2019-12-04,2020-02-04,long,139.22958,146.06483262031827,230.0,1506.4903877705294,1.8925823159589081,1,stop_hit
2019-12-12,2020-02-04,long,139.84989,146.06483262031827,279.0,1654.1987834577321,2.087305069790874,2,stop_hit
2019-12-16,2020-02-04,long,139.26959999999997,146.06483262031827,425.0,2766.7067297716435,3.4779823312827736,3,stop_hit
2020-02-07,2020-02-28,long,147.903915,150.87890378445763,328.0,877.795556740798,1.0968210844406743,1,stop_hit
2020-03-04,2020-03-12,long,154.4772,150.32409318749657,104.0,-463.6224429918572,-0.4825557843068541,1,stop_hit
2020-03-25,2020-06-03,long,152.65629,159.0056176847513,71.0,428.67427017172304,0.5056309703617141,1,stop_hit
2020-04-02,2020-06-03,long,151.27559999999997,159.0056176847513,172.0,1276.1946723354492,1.4892785473452175,2,stop_hit
2020-05-08,2020-06-03,long,161.16054,159.0056176847513,201.0,-497.49278305962605,-0.4864721505498334,3,stop_hit
2020-06-10,2020-08-11,long,162.18105,183.478215,143.0,2996.065320105001,3.378422499399581,1,stop_hit
2020-08-14,2020-08-25,long,183.53171999999998,179.76685535274652,150.0,-619.224483390931,-0.6064266631634792,1,stop_hit
2020-08-21,2020-08-25,long,182.23107,179.81802321624366,402.0,-1115.5885425429742,-1.0387216510636448,2,stop_hit
2020-08-27,2020-09-21,long,185.0925,177.9755132797958,130.0,-972.4071153529206,-1.0126683053287096,1,stop_hit
2020-08-31,2020-09-21,long,184.88239499999997,177.76034592083317,125.0,-935.5864775109542,-0.9769339643729114,2,stop_hit
2020-09-10,2020-09-21,long,184.32211499999997,177.37807863548272,133.0,-971.6629622343129,-1.012943761429356,3,stop_hit
2020-10-12,2020-10-28,long,180.660285,175.3739908822446,109.0,-615.0137949065005,-0.6530826449496193,1,stop_hit
2020-10-21,2020-10-28,long,180.56023499999998,175.96288459079727,196.0,-970.9592116435263,-1.0195207610711874,2,stop_hit
2020-11-04,2020-11-09,long,179.019465,176.33178999999998,168.0,-511.2284108400022,-0.5207287414828623,1,stop_hit
