date,symbol,shares,price,value,friction,position_before,position_after,forecast
2018-04-24,QQQ,32.0,151.017,4832.544,7.248816,0.0,32,1.2341498584430732
2018-04-24,GLD,602.0,126.23,75990.46,113.98569,0.0,602,7.950346696325256
2018-04-25,QQQ,-32.0,151.204,-4838.528,7.257792,32.0,0,0.0
2018-04-26,GLD,-260.0,124.97,-32492.2,48.7383,602.0,342,4.339461011633039
2018-04-27,QQQ,16.0,154.468,2471.488,3.707232,0.0,16,0.6012989335424914
2018-04-30,GLD,-220.0,124.59,-27409.8,41.1147,342.0,122,1.5311301212731812
2018-05-01,QQQ,11.0,155.133,1706.4630000000002,2.5596945000000004,16.0,27,0.9879719668840391
2018-05-04,QQQ,44.0,157.124,6913.456,10.370184,27.0,71,2.5075675733049514
2018-05-07,QQQ,53.0,158.408,8395.624,12.593436,71.0,124,4.297424749028519
2018-05-08,QQQ,48.0,158.242,7595.616,11.393424,124.0,172,5.746718208744139
2018-05-09,QQQ,62.0,159.987,9919.194,14.878791,172.0,234,7.726428932359725
2018-05-10,QQQ,81.0,161.674,13095.594000000001,19.643391,234.0,315,10.226139372776695
2018-05-11,QQQ,79.0,161.515,12759.685,19.1395275,315.0,394,12.336950194672378
2018-05-14,QQQ,82.0,161.801,13267.681999999999,19.901522999999997,394.0,476,14.346388741761471
2018-05-16,QQQ,38.0,161.046,6119.748,9.179622,476.0,514,15.250372668898969
2018-05-18,QQQ,44.0,159.585,7021.740000000001,10.532610000000002,514.0,558,15.63752152428894
2018-05-22,QQQ,77.0,160.281,12341.637,18.5124555,558.0,635,16.680024912538357
2018-05-24,QQQ,123.0,161.604,19877.292,29.815938000000003,635.0,758,18.789310368094092
2018-05-25,QQQ,79.0,161.771,12779.909,19.169863499999998,758.0,837,19.934406363575942
2018-05-31,QQQ,81.0,162.083,13128.723,19.6930845,837.0,918,20.0
2018-06-12,QQQ,105.0,167.555,17593.275,26.3899125,918.0,1023,20.0
2018-06-19,QQQ,100.0,168.094,16809.399999999998,25.2141,1023.0,1123,20.0
2018-06-25,QQQ,-274.0,163.663,-44843.662000000004,67.265493,1123.0,849,20.0
2018-07-03,QQQ,-188.0,163.106,-30663.928,45.995892,849.0,661,15.53206254518089
2018-07-10,QQQ,143.0,169.37,24219.91,36.329865,661.0,804,20.0
2018-07-20,QQQ,122.0,170.945,20855.29,31.282935000000002,804.0,926,20.0
2018-07-27,QQQ,-144.0,169.643,-24428.592,36.642888,926.0,782,20.0
2018-08-09,QQQ,146.0,173.721,25363.266,38.044899,782.0,928,20.0
2018-08-22,QQQ,167.0,172.918,28877.306,43.315959,928.0,1095,20.0
2018-10-03,QQQ,195.0,177.916,34693.62,52.04043000000001,1095.0,1290,20.0
2018-10-04,QQQ,-332.0,174.496,-57932.672000000006,86.89900800000001,1290.0,958,20.0
2018-10-05,QQQ,-187.0,172.359,-32231.133,48.34669950000001,958.0,771,16.83905259649697
2018-10-09,QQQ,-199.0,171.861,-34200.339,51.3005085,771.0,572,11.771941315270334
2018-10-10,QQQ,-501.0,164.298,-82313.298,123.46994699999999,572.0,71,2.5560141629722275
2018-12-20,GLD,893.0,119.24,106481.31999999999,159.72198,122.0,1015,11.764487251567529
2018-12-21,GLD,-1015.0,118.72,-120500.8,180.7512,1015.0,0,0.0
2018-12-24,GLD,1157.0,120.02,138863.13999999998,208.29470999999998,0.0,1157,14.335441298025039
2018-12-27,GLD,337.0,120.57,40632.09,60.94813499999999,1157.0,1494,18.01445182077385
2018-12-28,GLD,230.0,121.06,27843.8,41.7657,1494.0,1724,20.0
2019-01-15,GLD,219.0,121.88,26691.719999999998,40.03758,1724.0,1943,20.0
2019-01-25,GLD,-251.0,122.86,-30837.86,46.25679,1943.0,1692,20.0
2019-02-01,GLD,264.0,124.5,32868.0,49.302,1692.0,1956,20.0
2019-02-15,QQQ,339.0,164.966,55923.474,83.885211,71.0,410,12.20290884522901
2019-02-21,GLD,-410.0,125.05,-51270.5,76.90575,1956.0,1546,20.0
2019-02-22,QQQ,199.0,165.877,33009.523,49.5142845,410.0,609,16.26973906913619
2019-02-26,QQQ,167.0,166.654,27831.218,41.746827,609.0,776,19.178703122961693
2019-03-01,GLD,-309.0,121.88,-37660.92,56.49138,1546.0,1237,17.957119724324432
2019-03-06,GLD,-370.0,121.61,-44995.7,67.49355,1237.0,867,11.286527330630786
2019-03-07,QQQ,-776.0,164.486,-127641.136,191.461704,776.0,0,0.0
2019-03-11,QQQ,640.0,167.653,107297.92,160.94688,0.0,640,16.9152450131092
2019-03-13,QQQ,175.0,169.84,29722.0,44.583,640.0,815,20.0
2019-03-14,GLD,-284.0,122.41,-34764.44,52.146660000000004,867.0,583,8.301608237537947
2019-03-21,GLD,345.0,123.68,42669.600000000006,64.0044,583.0,928,11.253859858723965
2019-03-29,GLD,-324.0,122.01,-39531.240000000005,59.29686000000001,928.0,604,7.989625402676907
2019-04-02,BTC-USD,2.0,4857.29,9714.58,14.57187,0.0,2,5.712930454728818
2019-04-03,BTC-USD,1.0,4932.6,4932.6,7.398900000000001,2.0,3,9.471882598238622
2019-04-04,GLD,-282.0,122.11,-34435.02,51.65253,604.0,322,3.7226689403400477
2019-04-04,BTC-USD,1.0,4898.66,4898.66,7.34799,3.0,4,12.323762185649576
2019-04-05,BTC-USD,1.0,5004.95,5004.95,7.507425,4.0,5,15.401682856900102
2019-04-06,BTC-USD,1.0,5043.89,5043.89,7.565835000000001,5.0,6,18.26889688148737
2019-04-08,BTC-USD,1.0,5236.9,5236.9,7.85535,6.0,7,20.0
2019-04-10,QQQ,195.0,178.28,34764.6,52.1469,815.0,1010,20.0
2019-04-10,GLD,268.0,123.53,33106.04,49.659060000000004,322.0,590,6.094032390269301
2019-04-11,BTC-USD,-1.0,5017.37,-5017.37,7.526055,7.0,6,20.0
2019-04-12,GLD,-303.0,121.83,-36914.49,55.371735,590.0,287,3.330066748776335
2019-04-12,BTC-USD,1.0,5048.01,5048.01,7.572015,6.0,7,20.0
2019-04-16,GLD,-287.0,120.51,-34586.37,51.879555,287.0,0,0.0
2019-04-17,QQQ,172.0,179.907,30944.004,46.416006,1010.0,1182,20.0
2019-04-17,BTC-USD,1.0,5202.82,5202.82,7.80423,7.0,8,20.0
2019-04-20,BTC-USD,1.0,5291.73,5291.73,7.937594999999999,8.0,9,20.0
2019-04-29,BTC-USD,2.0,5238.14,10476.28,15.71442,9.0,11,20.0
2019-05-07,QQQ,-297.0,179.035,-53173.395,79.7600925,1182.0,885,20.0
2019-05-11,BTC-USD,-5.0,7076.22,-35381.1,53.07165,11.0,6,20.0
2019-05-13,QQQ,-309.0,171.651,-53040.159,79.5602385,885.0,576,14.825912342541335
2019-05-15,GLD,300.0,122.39,36717.0,55.0755,0.0,300,2.0929636123670456
2019-05-17,GLD,-300.0,120.65,-36195.0,54.292500000000004,300.0,0,0.0
2019-05-19,BTC-USD,-2.0,8148.48,-16296.96,24.445439999999998,6.0,4,20.0
2019-05-20,QQQ,-256.0,172.965,-44279.04,66.41856,576.0,320,8.434001118190055
2019-05-24,QQQ,-187.0,171.252,-32024.124000000003,48.03618600000001,320.0,133,3.2465998988365548
2019-06-03,GLD,549.0,125.11,68685.39,103.028085,0.0,549,5.533071747667021
2019-06-04,GLD,395.0,125.15,49434.25,74.151375,549.0,944,9.253907099716171
2019-06-05,GLD,424.0,125.47,53199.28,79.79892,944.0,1368,12.85207590398902
2019-06-06,GLD,458.0,125.88,57653.04,86.47956,1368.0,1826,16.46499060797533
2019-06-07,GLD,483.0,126.59,61142.97,91.714455,1826.0,2309,20.0
2019-06-09,BTC-USD,2.0,7628.13,15256.26,22.88439,4.0,6,20.0
2019-06-10,GLD,-386.0,125.33,-48377.38,72.56607,2309.0,1923,18.526140200495433
2019-06-12,GLD,295.0,125.83,37119.85,55.679775,1923.0,2218,20.0
2019-06-17,GLD,341.0,126.48,43129.68,64.69452,2218.0,2559,20.0
2019-06-18,QQQ,201.0,179.19,36017.19,54.025785000000006,133.0,334,7.843233704994548
2019-06-20,QQQ,296.0,181.513,53727.848,80.591772,334.0,630,12.857141666510113
2019-06-20,GLD,-681.0,131.11,-89285.91,133.928865,2559.0,1878,20.0
2019-06-24,QQQ,324.0,181.27,58731.48,88.09722000000001,630.0,954,16.979118028316933
2019-06-26,BTC-USD,-2.0,13093.8,-26187.6,39.2814,6.0,4,20.0
2019-07-02,QQQ,263.0,183.034,48137.941999999995,72.206913,954.0,1217,19.973132667899986
2019-07-02,GLD,-345.0,133.41,-46026.45,69.039675,1878.0,1533,20.0
2019-07-09,QQQ,197.0,183.671,36183.187,54.2747805,1217.0,1414,20.0
2019-07-16,BTC-USD,-2.0,9439.59,-18879.18,28.31877,4.0,2,13.288688789430424
2019-07-18,QQQ,235.0,185.377,43563.595,65.3453925,1414.0,1649,20.0
2019-07-31,QQQ,-220.0,184.093,-40500.46,60.75069,1649.0,1429,20.0
2019-08-05,QQQ,-956.0,174.103,-166442.46800000002,249.66370200000003,1429.0,473,9.25364610531055
2019-08-07,QQQ,-236.0,177.496,-41889.056000000004,62.83358400000001,473.0,237,4.633912446009968
2019-08-07,BTC-USD,2.0,11975.03,23950.06,35.925090000000004,2.0,4,17.249398896139514
2019-08-15,QQQ,-229.0,175.857,-40271.253,60.406879499999995,237.0,8,0.18703172775398097
2019-08-21,BTC-USD,-2.0,10142.57,-20285.14,30.42771,4.0,2,8.458839528514124
2019-08-30,BTC-USD,-2.0,9584.54,-19169.08,28.75362,2.0,0,0.9807440332257172
2019-09-05,BTC-USD,2.0,10564.49,21128.98,31.69347,0.0,2,5.604014314444738
2019-09-06,QQQ,225.0,184.564,41526.9,62.290350000000004,8.0,233,5.5449881449145915
2019-09-12,QQQ,266.0,186.16,49518.56,74.27784,233.0,499,10.417895635857137
